                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    114,                 1.2345,                 0.6742,                 1.0483,                0.93978,                 0.9138,                  0.964,                0.65723,                 1.1612,                  0.531,                 1.0108,              0.0044065,              0.0044065,              0.0044065
                    115,                 1.2361,                 0.6717,                 1.0456,                0.94087,                0.91326,                0.96408,                0.65779,                 1.1604,                0.53059,                 1.0104,               0.004357,               0.004357,               0.004357
                    116,                 1.2274,                0.66992,                 1.0433,                0.94119,                0.91338,                0.96426,                0.65806,                 1.1596,                0.52995,                   1.01,              0.0043075,              0.0043075,              0.0043075
                    117,                 1.2281,                0.66687,                 1.0448,                0.94092,                0.91296,                0.96427,                0.65886,                 1.1589,                0.52954,                 1.0095,               0.004258,               0.004258,               0.004258
                    118,                 1.2291,                0.66797,                 1.0435,                0.94097,                0.91338,                0.96442,                0.65941,                 1.1583,                0.52902,                 1.0091,              0.0042085,              0.0042085,              0.0042085
                    119,                 1.2262,                 0.6675,                  1.046,                0.94009,                0.91376,                0.96445,                0.65956,                 1.1578,                0.52853,                 1.0088,               0.004159,               0.004159,               0.004159
                    120,                 1.2264,                0.66402,                 1.0431,                 0.9404,                0.91421,                0.96459,                0.65978,                 1.1573,                0.52793,                 1.0086,              0.0041095,              0.0041095,              0.0041095
                    121,                  1.221,                0.66217,                 1.0396,                0.94126,                0.91442,                0.96466,                 0.6601,                  1.157,                0.52749,                 1.0083,                0.00406,                0.00406,                0.00406
                    122,                 1.2195,                0.66383,                 1.0422,                0.94051,                0.91414,                0.96454,                0.66035,                 1.1565,                0.52684,                  1.008,              0.0040105,              0.0040105,              0.0040105
                    123,                 1.2201,                0.66394,                 1.0404,                0.94088,                 0.9138,                0.96439,                0.66048,                  1.156,                0.52628,                 1.0077,               0.003961,               0.003961,               0.003961
                    124,                 1.2161,                0.65857,                 1.0404,                0.94092,                0.91442,                0.96458,                0.66029,                 1.1556,                 0.5259,                 1.0075,              0.0039115,              0.0039115,              0.0039115
                    125,                 1.2143,                0.65774,                 1.0403,                0.94092,                0.91421,                0.96465,                0.66096,                 1.1551,                0.52538,                 1.0072,               0.003862,               0.003862,               0.003862
                    126,                 1.2112,                0.65741,                 1.0387,                0.94157,                0.91421,                0.96473,                0.66134,                 1.1545,                0.52493,                 1.0069,              0.0038125,              0.0038125,              0.0038125
                    127,                 1.2105,                 0.6548,                 1.0387,                 0.9409,                0.91505,                0.96525,                0.66166,                  1.154,                0.52443,                 1.0067,               0.003763,               0.003763,               0.003763
                    128,                  1.208,                0.65604,                 1.0367,                0.94201,                0.91484,                0.96554,                0.66163,                 1.1533,                0.52396,                 1.0063,              0.0037135,              0.0037135,              0.0037135
